region,gr,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,year
new york,0.798104858606946,575155,219457124,9795478,2900230,26555963,1795907,0,60000,413382,5986829,1500000,4635804,15397610,26297359,79691696,5706726,0,2807665,3465402,530467,3733465,0,0,3604007,961475,0,2783846,58177920,7717071,56956762,0,14421009,0,7223180,39272580,2013
north carolina,0.865994388792649,0,78721160,5584923,1884529,17853828,3361757,467028,60000,0,0,0,1737717,5992144,469613,30271873,0,282096,882011,1832420,1974733,0,0,0,6033404,0,0,996299,13705884,4464834,12912758,6131422,9148032,0,15683187,15034627,2013
north dakota,0.856850619091999,0,6635977,231723,99004,24265814,1314429,0,120000,0,0,0,154428,225993,0,5373453,0,1278793,0,0,0,0,0,0,407988,0,0,0,1321329,705964,2810384,0,3400252,0,0,1271387,2013
ohio,0.82186696725649,0,120402992,2629595,1127529,3703859,0,0,0,0,0,0,2479861,4711684,1917175,43177025,0,0,327846,1388696,4788281,0,0,0,4601115,0,0,0,9818716,4889784,22295639,0,10262905,0,29760586,21160893,2013
oklahoma,0.823788577955454,0,32139643,1520359,334901,39569004,23341994,0,60000,0,0,0,635907,4685550,175000,11832496,0,1313270,0,0,0,0,0,0,9952407,0,0,990874,5249525,1661213,6794448,0,5491565,0,0,5831254,2013
oregon,0.744371401260839,688567,31697995,10154140,1139323,3604624,1555413,1384377,60000,828422,0,0,671176,495603,621923,10867831,0,366024,381510,0,0,0,0,0,2668867,3552478,0,0,8519748,1535488,5759941,0,5317086,0,13153404,5693957,2013
pennsylvania,0.878694043240334,0,116104372,8975378,570467,5801261,0,0,60000,414219,0,0,2345862,1535042,3645712,42613544,0,0,610970,0,449975,512513,6019231,0,1840017,2360256,0,446667,14929273,4134523,24266001,0,10450597,31437960,2776361,21128476,2013
rhode island,0.82479415490409,542140,10053887,0,494902,2132771,0,0,0,0,0,0,207507,575244,84730,5373453,0,0,92205,0,0,0,0,0,48827,0,0,0,3431181,705964,2736330,0,3595426,0,0,1737554,2013
south carolina,0.801471156073828,0,43063274,556129,1463733,2092633,17553,0,120000,0,5674234,3313216,927738,2455696,5252726,15733557,0,0,0,1162855,0,333833,0,0,2869883,0,0,749992,4412238,2279684,7211519,0,5891024,0,3625632,7734952,2013
south dakota,0.833154174884944,0,8304687,829212,143326,58540469,3496610,0,120000,0,0,0,183247,660315,0,5373453,0,1775946,22500,1386561,0,0,0,0,633232,0,0,0,1052817,705964,2810384,0,3534782,0,0,1580407,2013
tennessee,0.872552032356497,0,55069602,569807,499514,5640113,0,0,120000,0,0,3297394,1193907,1579528,2623611,21096833,0,0,344613,0,0,276000,0,0,4855763,0,0,623402,5821494,3050206,10079550,0,7021150,0,6610014,10315243,2013
texas,0.892194875708131,696102,272126454,58406271,1915906,86152045,509441,2977457,60000,2425279,10198717,0,5828336,13715277,11163085,102042665,0,247866,2364204,627927,2843440,281138,0,0,12227362,2481344,0,1593574,102932985,14385763,48558692,3988124,21606523,55016430,34778331,51942262,2013
utah,0.838342143595527,0,18477386,1828502,852863,9090992,1324232,0,60000,0,0,0,394145,3598699,140000,7088970,0,0,0,0,0,0,0,0,548974,0,0,996743,4602342,1059444,3777431,0,5324523,0,0,3557588,2013
vermont,0.877583789880761,0,6457685,628202,612550,589744,216730,0,120000,0,0,48391,154428,204143,0,5373453,0,0,26100,0,0,0,0,0,0,0,0,0,5e+05,705964,2810384,0,3344663,0,0,0,2013
virginia,0.855119904585211,0,46503403,786682,1721820,40614926,11095,0,120000,0,0,0,978323,1404159,0,16427283,0,0,401947,777753,277856,278765,0,0,2130579,0,0,596749,11431525,2216318,15734184,0,7969572,0,9634373,8090119,2013
washington,0.781974653751079,0,45601588,14969257,1381712,31467982,3963792,1813784,60000,2370907,0,0,919172,4114642,0,15659088,0,1177030,694658,0,0,571728,0,0,2536181,2149973,0,0,17573759,2189346,9703758,0,7212130,0,1,8217487,2013
west virginia,0.846728879659643,0,19410488,0,1124715,15929,0,0,0,0,0,2243782,410716,272525,0,7092594,0,0,93600,0,0,0,0,0,2677318,0,0,816915,653047,767721,5100962,0,4036497,0,0,3493287,2013
wisconsin,0.886783273599806,0,46079904,629371,1300567,13674638,2435264,414865,120000,0,0,3499998,941469,7281737,18648500,17303093,0,812717,0,0,445214,510452,0,0,2358843,0,0,0,8398781,1830576,9781371,0,6567168,0,0,8478125,2013
wyoming,0.787721638961796,0,6639877,230923,618361,13810385,803284,0,0,0,0,0,154428,132508,0,5373453,0,264438,0,0,0,0,0,0,49946,0,0,0,5e+05,705964,2810384,0,3357456,0,0,1223430,2013
